Taxa;COS_ARMS_1;COS_ARMS_2;COS_BBOX_1;COS_BBOX_2;RIB_ARMS_1;RIB_ARMS_2;RIB_BBOX_1;RIB_BBOX_2
Acetabularia acetabulum;0.03;0.31;0.00;0.00;0.00;0.00;0.00;0.00
Sedentary Annelida Polychaeta;1.46;7.64;2.99;1.55;7.97;4.68;4.12;1.75
Ascidia conchilega;0.65;1.10;0.00;0.06;0.00;0.00;1.81;0.00
Botryllus schlosseri;0.00;0.14;0.00;0.03;0.00;0.00;0.08;0.00
Bryozoan_branching;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Dentiporella sardonica;0.14;0.00;0.00;0.27;0.00;0.00;0.00;0.00
Diplosolen obelia/Plagioecia sp;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Diplosoma spongiforme;1.10;0.00;0.00;0.00;0.00;0.00;3.70;0.00
Bryozoan, encrusting unidentified;17.08;8.84;5.97;4.98;10.45;10.39;3.46;3.21
Eupolymnia/Amphitrides;0.00;1.10;0.00;0.60;0.00;0.00;0.42;0.00
Undentified Green Algae;0.56;0.17;0.00;0.18;0.00;0.84;5.43;0.00
Halymenia elongata;0.00;0.00;0.00;0.00;5.33;0.00;0.89;2.71
Miniacea miniacea;0.34;0.00;0.00;0.30;0.05;0.04;0.23;0.06
Padina spp;0.00;1.10;0.00;0.27;0.37;0.15;0.00;0.00
Porifera;3.18;12.44;4.48;3.28;2.96;2.30;1.27;1.86
Reteporella spp.;9.65;5.65;13.43;1.52;2.80;0.69;0.00;0.06
Salmacina_spp/Filograna implexa;16.66;9.35;10.45;15.15;9.71;10.35;7.66;1.97
Spirobranchus sp.;5.88;4.80;5.97;1.04;5.91;10.77;3.27;9.08
Spirorbis_spp;0.00;0.86;0.00;0.63;4.64;2.42;0.89;4.17
Turf algae;42.72;45.02;52.24;61.71;49.82;57.36;66.78;75.08
Unknow Sponge -White;0.42;0.00;1.49;0.09;0.00;0.00;0.00;0.06
Yellow sponge;0.11;1.51;2.99;8.35;0.00;0.00;0.00;0.00