MOTUs;COS_ARMS;RIB_BenthosBox
Proteobacteria;5151;2354
Cyanobacteria;3557;313
Bacteroidetes;2175;516
Verrucomicrobia;223;184
Planctomycetes;173;127
Actinobacteria;119;16
Kiritimatiellaeota;6;70
Lentisphaerae;6;67
Firmicutes;20;19
Acidobacteria;15;12
Nitrospirae;6;8
Rhodothermaeota;12;2
Chloroflexi;6;5
Fusobacteria;1;8
Spirochaetes;0;4
Balneolaeota;3;1
Chlamydiae;0;4
Nitrospinae;1;2
Gemmatimonadetes;0;2
Deinococcus-Thermus;2;0
Candidatus Melainabacteria;2;0
Calditrichaeota;1;0
Fibrobacteres;0;1